"index"	"input_logprob"	"output_logprob"	"shift_freq"	"correct"	"shift"	"shift_level"	"pred"
60	-38.1131401062012	-15.0743827819824	59	1	1	1	0.783747194753928
61	-40.4566650390625	-15.074520111084	59	1	1	1	0.789711330372775
62	-37.7209625244141	-15.0750274658203	59	1	1	1	0.782730800298329
63	-38.9936904907227	-15.0750503540039	59	0	1	1	0.78599651690571
64	-42.144115447998	-14.9226322174072	59	1	1	1	0.795339700864808
65	-38.8624229431152	-15.0809688568115	59	1	1	1	0.785604698978627
66	-36.552604675293	-14.9163932800293	59	1	1	1	0.781245362389145
67	-37.9846000671387	-14.9159240722656	59	1	1	1	0.784940175024418
68	-35.7145233154297	-15.0850162506104	59	0	1	1	0.777411098225471
69	-38.6404304504395	-15.0865516662598	59	1	1	1	0.784983341102226
70	-39.3484344482422	-14.913402557373	59	0	1	1	0.788436462182295
71	-39.6461715698242	-14.9112968444824	59	1	1	1	0.789208878225966
72	-43.2092399597168	-15.0893936157227	59	1	1	1	0.796425724713811
73	-36.8838386535645	-15.089693069458	59	1	1	1	0.780420359828197
74	-40.9794731140137	-14.9099082946777	59	1	1	1	0.792567371352953
75	-42.7863273620605	-14.9096336364746	59	1	1	1	0.797040636898891
76	-38.2807502746582	-14.9087448120117	59	0	1	1	0.785766362299447
77	-35.0096855163574	-15.0920486450195	59	1	1	1	0.775485578797277
78	-33.5363426208496	-14.907678604126	59	1	1	1	0.773410739501223
79	-41.8161163330078	-14.9063186645508	59	1	1	1	0.79467975973276
80	-33.4650382995605	-14.9054832458496	59	1	1	1	0.773242969200777
81	-38.8084259033203	-14.904655456543	59	0	1	1	0.787149891645342
82	-34.2194862365723	-15.0964965820312	59	0	1	1	0.773347050040487
83	-36.4302673339844	-14.9018363952637	59	1	1	1	0.781069451393818
84	-35.0542297363281	-15.0994110107422	59	1	1	1	0.775530411163409
85	-39.6488494873047	-14.8997936248779	59	1	1	1	0.789324341079567
86	-37.3544769287109	-15.1008415222168	59	0	1	1	0.781533402101231
87	-39.8931579589844	-14.8987197875977	59	1	1	1	0.789950182743003
88	-34.3062286376953	-14.8985977172852	59	1	1	1	0.775541014860962
89	-35.392951965332	-14.8953857421875	59	1	1	1	0.778429568380503
90	-40.4561729431152	-14.8938522338867	59	1	1	1	0.791409694047331
91	-34.386905670166	-14.8933334350586	59	1	1	1	0.775806043962047
92	-34.314567565918	-15.1074695587158	59	1	1	1	0.77349059386993
93	-37.2813491821289	-14.89035987854	59	1	1	1	0.78338014653139
94	-39.0794792175293	-14.8897571563721	59	1	1	1	0.787979539895096
95	-35.8091888427734	-15.1112689971924	59	0	1	1	0.777401523002948
96	-37.2073211669922	-15.1135673522949	59	1	1	1	0.781028334942075
97	-34.5677528381348	-15.1149196624756	59	1	1	1	0.774088878930575
98	-35.1459083557129	-14.8849258422852	59	0	1	1	0.777885129129561
99	-41.700382232666	-15.1151218414307	59	1	1	1	0.792448653634149
100	-41.763843536377	-22.5	59	1	1	1	0.715272159542146
101	-36.1852378845215	-22.4999961853027	59	1	1	1	0.697725796279303
102	-35.7141723632812	-22.4999961853027	59	1	1	1	0.696216345804699
103	-33.8957252502441	-22.4999923706055	59	0	1	1	0.690349901194628
104	-37.9944839477539	-22.4999923706055	59	1	1	1	0.703483488065521
105	-33.6989212036133	-22.5000076293945	59	0	1	1	0.689711069237854
106	-38.9275665283203	-22.5000076293945	59	1	1	1	0.706427769081049
107	-31.8913955688477	-22.5000114440918	59	1	1	1	0.683811792661907
108	-39.8567008972168	-22.5000152587891	59	0	1	1	0.709342632549229
109	-36.8776092529297	-22.5000190734863	59	1	1	1	0.699936373065505
110	-35.0428619384766	-22.4999771118164	59	0	1	1	0.694058153588526
111	-35.9580154418945	-22.4999732971191	59	1	1	1	0.696998505285397
112	-36.2115325927734	-22.5000267028809	59	0	1	1	0.697809562287619
113	-40.1851539611816	-22.5000267028809	59	1	1	1	0.710368850881273
114	-38.7829246520996	-22.5000343322754	59	0	1	1	0.705972138300027
115	-37.3162994384766	-22.5000419616699	59	0	1	1	0.701332115641624
116	-38.3002052307129	-22.4999504089355	59	0	1	1	0.704450607969792
117	-37.0678596496582	-22.4999504089355	59	0	1	1	0.700543070637284
118	-38.3605766296387	-22.499942779541	59	1	1	1	0.704641362708358
119	-36.7459831237793	-22.499942779541	59	0	1	1	0.69951769267663
120	-40.7445793151855	-22.500057220459	59	1	1	1	0.712111639786388
121	-35.8900451660156	-22.500057220459	59	0	1	1	0.696779665086952
122	-38.5230369567871	-22.4999389648438	59	1	1	1	0.705154133711969
123	-32.8930473327637	-22.4999351501465	59	0	1	1	0.687089288261183
124	-32.8074722290039	-22.5000648498535	59	0	1	1	0.686808496433537
125	-35.8260307312012	-22.5000686645508	59	0	1	1	0.696574291411683
126	-37.3914184570312	-22.499927520752	59	0	1	1	0.701572149194444
127	-33.0958824157715	-22.499927520752	59	0	1	1	0.687750631452851
128	-40.4801826477051	-22.5000762939453	59	0	1	1	0.711288347472329
129	-32.7433586120605	-22.5000877380371	59	1	1	1	0.686598943133286
130	-37.7657279968262	-22.4999008178711	59	1	1	1	0.702760103723494
131	-42.4166450500488	-22.4999008178711	59	0	1	1	0.717286068223099
132	-37.1320953369141	-22.5000991821289	59	1	1	1	0.700745707108759
133	-38.5839767456055	-22.4998970031738	59	1	1	1	0.705346821971067
134	-35.989688873291	-22.5001029968262	59	1	1	1	0.697098426847046
135	-36.7412261962891	-22.4998931884766	59	0	1	1	0.69950311478302
136	-36.3258781433105	-22.4998893737793	59	0	1	1	0.698176908349738
137	-40.2961692810059	-22.5001106262207	59	0	1	1	0.710714286199246
138	-38.8670272827148	-22.4998817443848	59	1	1	1	0.706238732564192
139	-36.5353164672852	-22.4998817443848	59	0	1	1	0.698846174595942
140	-38.7486152648926	-22.5001182556152	59	0	1	1	0.705863085835612
141	-30.5737953186035	-22.5001182556152	59	1	1	1	0.67947247105857
142	-42.055248260498	-22.5001220703125	59	1	1	1	0.716170295743035
143	-35.6344299316406	-22.5001220703125	59	1	1	1	0.695958890976064
144	-37.7186546325684	-22.5001220703125	59	1	1	1	0.702608269209566
145	-38.5367240905762	-22.5001258850098	59	1	1	1	0.705195098870016
146	-36.2856903076172	-22.5001258850098	59	1	1	1	0.698045575600727
147	-38.0304527282715	-22.4998664855957	59	0	1	1	0.703598799951465
148	-37.1852378845215	-22.4998664855957	59	1	1	1	0.700917527532714
149	-38.7699737548828	-22.5001335144043	59	1	1	1	0.705930180437317
150	-38.3541526794434	-22.5001411437988	59	1	1	1	0.704618732329214
151	-38.4180068969727	-22.4998512268066	59	1	1	1	0.704823754413473
152	-35.1065711975098	-22.5001487731934	59	0	1	1	0.694261291784127
153	-33.7537727355957	-22.5001487731934	59	0	1	1	0.689887424507339
154	-35.6282119750977	-22.5001487731934	59	0	1	1	0.695938607613387
155	-39.4727249145508	-22.4998474121094	59	1	1	1	0.708142035685969
156	-43.4092140197754	-22.4998435974121	59	1	1	1	0.720330499605764
157	-36.6652679443359	-22.4998435974121	59	1	1	1	0.699261412678727
158	-42.2693481445312	-22.5001564025879	59	1	1	1	0.71682971866883
159	-30.2076568603516	-22.5001564025879	59	1	1	1	0.678260970570567
160	-40.9316482543945	-22.5001564025879	59	1	1	1	0.712691988429342
161	-38.8963623046875	-22.5001564025879	59	1	1	1	0.706327823323104
162	-34.7837066650391	-22.5001564025879	59	1	1	1	0.693220451332524
163	-38.9803123474121	-22.5001602172852	59	1	1	1	0.706591906878692
164	-34.4291610717773	-22.4998359680176	59	1	1	1	0.692079187878012
165	-36.7486991882324	-22.5001640319824	59	1	1	1	0.699523711936149
166	-36.163745880127	-22.4998207092285	59	1	1	1	0.697659124316587
167	-33.1827735900879	-22.4998207092285	59	1	1	1	0.688034969001939
168	-42.9958724975586	-22.5001792907715	59	1	1	1	0.719061548004644
169	-42.233325958252	-22.4998168945312	59	0	1	1	0.716722685780433
170	-37.6580085754395	-22.5001831054688	59	0	1	1	0.702415250649756
171	-37.4335708618164	-22.4998092651367	59	1	1	1	0.701707436082801
172	-33.4667549133301	-22.5001907348633	59	0	1	1	0.688954508956178
173	-38.3267936706543	-22.4998054504395	59	1	1	1	0.704536302649473
174	-36.1383361816406	-22.4998016357422	59	1	1	1	0.69757803017063
175	-35.8182144165039	-22.4997978210449	59	1	1	1	0.696552478804594
176	-38.8008003234863	-22.5002059936523	59	1	1	1	0.706026406887872
177	-42.4163246154785	-22.5002059936523	59	1	1	1	0.717281566214674
178	-38.0278816223145	-22.5002136230469	59	0	1	1	0.703586551470403
179	-38.4467849731445	-22.5002174377441	59	0	1	1	0.704910255310128
180	-28.9111785888672	-22.5002174377441	59	0	1	1	0.67395279437046
181	-36.3261795043945	-22.5002250671387	59	0	1	1	0.698173852670738
182	-34.4722366333008	-22.5002250671387	59	1	1	1	0.692213732816009
183	-39.7964172363281	-22.5002250671387	59	1	1	1	0.709151566123338
184	-39.5368843078613	-22.4997711181641	59	1	1	1	0.708344073573848
185	-36.7691192626953	-22.4997711181641	59	1	1	1	0.699593518833808
186	-32.1227989196777	-22.4997673034668	59	1	1	1	0.684573384115417
187	-41.2962112426758	-22.5002326965332	59	1	1	1	0.713822330166214
188	-39.6776542663574	-22.5002326965332	59	1	1	1	0.70877969340566
189	-37.7457008361816	-22.5002326965332	59	1	1	1	0.70269268982782
190	-39.376407623291	-22.4997596740723	59	1	1	1	0.707840954844535
191	-38.5780029296875	-22.4997596740723	59	1	1	1	0.705329606592607
192	-38.3428916931152	-22.4997596740723	59	1	1	1	0.704587683085176
193	-39.9857406616211	-22.5002403259277	59	0	1	1	0.709743478449708
194	-35.8164978027344	-22.5002403259277	59	1	1	1	0.696541659699018
195	-36.106761932373	-22.500244140625	59	1	1	1	0.69747165581476
196	-33.4332008361816	-22.5002479553223	59	1	1	1	0.688844708072268
197	-34.6178817749023	-22.5002555847168	59	1	1	1	0.692683951054114
198	-31.5781784057617	-22.5002555847168	59	1	1	1	0.682780426595242
199	-37.0259590148926	-22.5002555847168	59	0	1	1	0.700406054171446
200	-37.127124786377	-30	59	0	1	1	0.604597410536842
201	-38.6434745788574	-29.9999961853027	59	0	1	1	0.610083788635062
202	-39.7785186767578	-29.9999961853027	59	0	1	1	0.614172436044347
203	-33.4352378845215	-30.0000038146973	59	0	1	1	0.591131584927905
204	-40.8480644226074	-30.0000038146973	59	1	1	1	0.618010368845464
205	-33.8157196044922	-30.0000076293945	59	0	1	1	0.592526009402607
206	-39.2301712036133	-29.9999885559082	59	0	1	1	0.612199257620781
207	-31.2940063476562	-29.9999847412109	59	0	1	1	0.583257400813734
208	-36.5464477539062	-29.9999847412109	59	0	1	1	0.602489585193123
209	-37.2076606750488	-29.9999847412109	59	0	1	1	0.604889682440425
210	-39.3496856689453	-30.0000152587891	59	0	1	1	0.612629298134738
211	-36.6007347106934	-29.9999809265137	59	0	1	1	0.602686877664043
212	-33.3829803466797	-30.0000190734863	59	1	1	1	0.59093973480804
213	-31.8893013000488	-30.0000228881836	59	1	1	1	0.58545053996508
214	-34.1177444458008	-29.9999732971191	59	0	1	1	0.59363235105811
215	-35.5475807189941	-30.0000267028809	59	0	1	1	0.598853950102778
216	-36.2634162902832	-30.0000267028809	59	0	1	1	0.601460138586508
217	-38.443359375	-29.9999694824219	59	1	1	1	0.609361671008848
218	-36.5980949401855	-30.0000305175781	59	1	1	1	0.602676612676285
219	-36.2745704650879	-29.9999656677246	59	0	1	1	0.601501534483401
220	-38.8849906921387	-29.9999656677246	59	1	1	1	0.6109555066309
221	-34.3273277282715	-29.9999656677246	59	0	1	1	0.594399292565634
222	-31.8529472351074	-30.0000343322754	59	1	1	1	0.58531651333999
223	-33.0737037658691	-29.9999618530273	59	0	1	1	0.589805768008953
224	-39.2073020935059	-29.9999618530273	59	0	1	1	0.612117240647661
225	-40.1314659118652	-30.0000419616699	59	1	1	1	0.615439957761806
226	-35.9367828369141	-29.9999504089355	59	0	1	1	0.600272686885267
227	-44.1278419494629	-29.9999504089355	59	0	1	1	0.629687214031124
228	-32.8109512329102	-29.9999504089355	59	1	1	1	0.588841119880355
229	-38.6444664001465	-29.9999504089355	59	0	1	1	0.610087986913632
230	-37.7966728210449	-29.999942779541	59	1	1	1	0.607024025090093
231	-31.6282577514648	-30.000057220459	59	1	1	1	0.584488530674097
232	-47.4510078430176	-29.9999389648438	59	1	1	1	0.641365220275878
233	-37.8407745361328	-29.9999389648438	59	0	1	1	0.60718367779207
234	-40.1617126464844	-29.9999389648438	59	1	1	1	0.615549946330197
235	-38.921459197998	-30.0000610351562	59	0	1	1	0.611085723060336
236	-42.557201385498	-29.9999351501465	59	0	1	1	0.624113848442466
237	-36.8956909179688	-29.9999351501465	59	0	1	1	0.60375857842218
238	-39.1810150146484	-30.0000648498535	59	0	1	1	0.612021154105882
239	-39.0650215148926	-30.0000648498535	59	0	1	1	0.611603195733077
240	-37.6980247497559	-30.0000648498535	59	1	1	1	0.606665286954422
241	-32.9937057495117	-29.9999313354492	59	0	1	1	0.589512514297347
242	-43.0476837158203	-30.0000686645508	59	1	1	1	0.625856206617956
243	-38.3923492431641	-30.0000686645508	59	1	1	1	0.609176089965241
244	-38.9318351745605	-30.000072479248	59	0	1	1	0.611122981041828
245	-37.7276000976562	-30.000072479248	59	1	1	1	0.606772251572952
246	-34.9424209594727	-29.9999237060547	59	1	1	1	0.596647739213756
247	-40.6277351379395	-30.0000801086426	59	1	1	1	0.617219885143552
248	-38.6948051452637	-30.0000801086426	59	1	1	1	0.610267896344595
249	-35.201831817627	-30.0000801086426	59	0	1	1	0.597592415489351
250	-36.6917266845703	-29.9999160766602	59	1	1	1	0.603018285586576
251	-41.2968063354492	-30.0000839233398	59	1	1	1	0.619615249304892
252	-39.9072456359863	-29.9999084472656	59	0	1	1	0.614636312514919
253	-36.5932731628418	-29.9999046325684	59	0	1	1	0.602660807634008
254	-36.5706672668457	-29.9999046325684	59	0	1	1	0.602578675945562
255	-40.5627746582031	-29.9999046325684	59	1	1	1	0.616989363407642
256	-40.8838272094727	-30.0000953674316	59	1	1	1	0.618137223654218
257	-43.0755271911621	-29.9999008178711	59	1	1	1	0.625957352313033
258	-40.233024597168	-30.0001029968262	59	0	1	1	0.615803747650078
259	-41.0427932739258	-30.0001029968262	59	0	1	1	0.618706252202079
260	-39.8406143188477	-30.0001068115234	59	0	1	1	0.614394169124332
261	-34.8784523010254	-30.0001068115234	59	1	1	1	0.59641164744561
262	-38.3225936889648	-30.0001068115234	59	0	1	1	0.608923578620947
263	-39.2674026489258	-29.9998893737793	59	1	1	1	0.612334693575959
264	-34.6664390563965	-29.9998893737793	59	0	1	1	0.59564012291005
265	-37.8533058166504	-29.9998893737793	59	1	1	1	0.607229695438489
266	-37.6499786376953	-30.0001106262207	59	0	1	1	0.606490708877348
267	-38.0385284423828	-30.0001106262207	59	1	1	1	0.60789672860975
268	-38.1115303039551	-30.0001106262207	59	0	1	1	0.608160696833565
269	-40.8612213134766	-29.999885559082	59	1	1	1	0.618059077571205
270	-39.3343772888184	-30.000114440918	59	1	1	1	0.61257284135029
271	-42.1146278381348	-30.000114440918	59	1	1	1	0.622534913135055
272	-34.6721801757812	-30.000114440918	59	0	1	1	0.595658022026155
273	-37.1483764648438	-30.0001182556152	59	0	1	1	0.604672881252431
274	-39.0383720397949	-30.0001182556152	59	0	1	1	0.611506425839778
275	-38.0523567199707	-30.0001182556152	59	0	1	1	0.607946631959463
276	-34.4092178344727	-29.9998741149902	59	1	1	1	0.594700046335618
277	-38.273250579834	-29.999870300293	59	0	1	1	0.60874848966095
278	-41.035717010498	-30.000129699707	59	1	1	1	0.618680566735645
279	-42.6866226196289	-30.0001335144043	59	1	1	1	0.62457173699743
280	-39.2414436340332	-30.0001335144043	59	1	1	1	0.612237904613474
281	-30.7907752990723	-30.0001335144043	59	1	1	1	0.581398356000633
282	-32.7133522033691	-30.0001373291016	59	0	1	1	0.588479997975316
283	-37.2203369140625	-29.9998588562012	59	0	1	1	0.60493735552991
284	-40.6114807128906	-30.0001411437988	59	1	1	1	0.617160800114176
285	-41.402717590332	-29.9998512268066	59	1	1	1	0.619997018694226
286	-39.5947036743164	-29.9998512268066	59	0	1	1	0.613513327324022
287	-39.4694404602051	-29.9998435974121	59	1	1	1	0.613062701642141
288	-36.5544471740723	-29.9998435974121	59	0	1	1	0.602520572083243
289	-34.2645950317383	-30.0001564025879	59	0	1	1	0.594167197080243
290	-37.9411277770996	-30.0001564025879	59	0	1	1	0.607543818124028
291	-39.3614349365234	-29.9998397827148	59	1	1	1	0.612673966542039
292	-40.0602149963379	-30.0001602172852	59	0	1	1	0.615182488662307
293	-39.6614685058594	-30.0001602172852	59	1	1	1	0.613749322796358
294	-32.9356384277344	-29.9998359680176	59	1	1	1	0.58930062022291
295	-37.3445167541504	-29.9998359680176	59	1	1	1	0.605387840669078
296	-35.8501625061035	-29.9998359680176	59	0	1	1	0.599958871333088
297	-34.5689353942871	-29.9998359680176	59	1	1	1	0.595284506470381
298	-35.345027923584	-29.9998359680176	59	0	1	1	0.598118085303484
299	-42.9088325500488	-30.0001640319824	59	1	1	1	0.625361516850736
300	-35.8638534545898	-37.5001182556152	59	0	1	1	0.494840724000201
301	-40.8537254333496	-37.5001487731934	59	1	1	1	0.513763063871468
302	-35.3548126220703	-37.5002288818359	59	1	1	1	0.492908668519499
303	-37.4523582458496	-37.5003623962402	59	1	1	1	0.50086222304173
304	-37.8167495727539	-37.5003967285156	59	1	1	1	0.502243846498206
305	-38.1667594909668	-37.5004463195801	59	0	1	1	0.503570673537536
306	-40.1429252624512	-37.4994735717773	59	0	1	1	0.511078275132084
307	-33.084041595459	-37.4993553161621	59	1	1	1	0.484312785428467
308	-38.9188613891602	-37.5007133483887	59	0	1	1	0.506419288443869
309	-35.6556739807129	-37.4992485046387	59	1	1	1	0.494063555414586
310	-37.8674392700195	-37.4992179870605	59	1	1	1	0.502452849350826
311	-35.8531036376953	-37.5009918212891	59	0	1	1	0.4947875477679
312	-37.3362770080566	-37.4989204406738	59	0	1	1	0.500442412836692
313	-38.3743209838867	-37.4988975524902	59	1	1	1	0.504379895550551
314	-40.9724884033203	-37.5011177062988	59	1	1	1	0.51419942392241
315	-34.8758354187012	-37.5011215209961	59	1	1	1	0.491079714329322
316	-38.2102470397949	-37.4988212585449	59	1	1	1	0.503758692940329
317	-39.5042686462402	-37.5011825561523	59	1	1	1	0.508632550690418
318	-33.0557746887207	-37.4987716674805	59	0	1	1	0.484213958104436
319	-35.5893936157227	-37.4987144470215	59	0	1	1	0.493819777599434
320	-38.7661781311035	-37.5014152526855	59	1	1	1	0.505830283984009
321	-37.6485710144043	-37.4984855651855	59	0	1	1	0.50163310592066
322	-38.4773979187012	-37.498477935791	59	1	1	1	0.504776790238723
323	-38.9502830505371	-37.501522064209	59	0	1	1	0.506526964720918
324	-35.7907257080078	-37.5015449523926	59	0	1	1	0.494543121257908
325	-33.078540802002	-37.5016098022461	59	0	1	1	0.484259950354933
326	-39.2610511779785	-37.4983863830566	59	1	1	1	0.507749988469011
327	-39.901725769043	-37.5016212463379	59	1	1	1	0.510133332551393
328	-39.34228515625	-37.4983100891113	59	0	1	1	0.508059112900735
329	-34.9424209594727	-37.4982719421387	59	1	1	1	0.491372656768032
330	-39.3092803955078	-37.4982719421387	59	0	1	1	0.507934500565444
331	-41.0307159423828	-37.4981651306152	59	1	1	1	0.514462002043971
332	-30.4944953918457	-37.5018539428711	59	0	1	1	0.474472289036661
333	-34.4896926879883	-37.4981155395508	59	0	1	1	0.489658312401018
334	-37.3875427246094	-37.5019035339355	59	1	1	1	0.500594489809819
335	-34.5407829284668	-37.4980659484863	59	0	1	1	0.489852718892618
336	-32.046012878418	-37.501953125	59	0	1	1	0.480343659521578
337	-38.5011215209961	-37.5019569396973	59	0	1	1	0.504817353264211
338	-32.1503982543945	-37.5019874572754	59	0	1	1	0.480738503490618
339	-38.464168548584	-37.5020751953125	59	1	1	1	0.504675524820507
340	-36.1180419921875	-37.5021171569824	59	1	1	1	0.495776378198821
341	-35.9706192016602	-37.4978294372559	59	0	1	1	0.495278151145668
342	-34.4560966491699	-37.5021858215332	59	1	1	1	0.489473149585693
343	-30.9586486816406	-37.4977684020996	59	1	1	1	0.47628642848364
344	-34.1400108337402	-37.5022621154785	59	0	1	1	0.488273756733957
345	-39.5023307800293	-37.4977340698242	59	0	1	1	0.508674170626579
346	-34.7544746398926	-37.4977073669434	59	1	1	1	0.490668028786413
347	-32.4128684997559	-37.4975929260254	59	0	1	1	0.481794980123118
348	-40.1461563110352	-37.5024223327637	59	0	1	1	0.511048660387367
349	-29.9576530456543	-37.4975395202637	59	0	1	1	0.472502900114496
350	-38.1712379455566	-37.5025596618652	59	0	1	1	0.503557642699786
351	-40.5245399475098	-37.4973793029785	59	0	1	1	0.5125546492423
352	-39.3355979919434	-37.4972534179688	59	0	1	1	0.508048760446399
353	-37.4552612304688	-37.4972152709961	59	1	1	1	0.500917935906951
354	-39.8842887878418	-37.5027885437012	59	0	1	1	0.510050647887639
355	-37.1590461730957	-37.5028038024902	59	0	1	1	0.499715022072767
356	-40.2789268493652	-37.5028648376465	59	0	1	1	0.511545715731435
357	-35.9259757995605	-37.4970970153809	59	0	1	1	0.495119238122426
358	-38.5951347351074	-37.4970664978027	59	0	1	1	0.505243363770411
359	-41.0093841552734	-37.4970664978027	59	1	1	1	0.514396750706393
360	-28.1089515686035	-37.4970626831055	59	0	1	1	0.465524624076199
361	-38.2738876342773	-37.4970550537109	59	1	1	1	0.50402515101154
362	-34.8214492797852	-37.5029525756836	59	1	1	1	0.490847496720592
363	-34.338062286377	-37.5029563903809	59	0	1	1	0.489014715840881
364	-42.4723739624023	-37.4969749450684	59	0	1	1	0.519940526099508
365	-42.5617141723633	-37.4969749450684	59	0	1	1	0.520278842664467
366	-43.7969055175781	-37.4969139099121	59	0	1	1	0.524955130836695
367	-42.5099754333496	-37.5030937194824	59	1	1	1	0.519996146756636
368	-38.4417152404785	-37.4967765808105	59	1	1	1	0.504665623059034
369	-39.6724395751953	-37.5034713745117	59	1	1	1	0.50923771394041
370	-38.9422798156738	-37.5035438537598	59	1	1	1	0.506467900949577
371	-41.101203918457	-37.5036582946777	59	0	1	1	0.514651174838055
372	-35.374454498291	-37.4962882995605	59	1	1	1	0.493039116258021
373	-32.9926223754883	-37.4962882995605	59	0	1	1	0.484009903560195
374	-40.2142715454102	-37.5038032531738	59	1	1	1	0.511287285563007
375	-35.5501861572266	-37.5038642883301	59	1	1	1	0.493597951112905
376	-38.0217704772949	-37.5038795471191	59	1	1	1	0.502971994340213
377	-34.4558296203613	-37.4961051940918	59	0	1	1	0.489558469116378
378	-40.0526466369629	-37.5039138793945	59	0	1	1	0.510672972282659
379	-35.4311180114746	-37.5039443969727	59	0	1	1	0.493145270951417
380	-38.2131500244141	-37.5039939880371	59	1	1	1	0.503696233333774
381	-37.8528785705566	-37.4960021972656	59	1	1	1	0.502443298712769
382	-34.7147941589355	-37.5040321350098	59	1	1	1	0.49042777012166
383	-39.0829582214355	-37.4959373474121	59	1	1	1	0.507109415177344
384	-41.2226142883301	-37.5041160583496	59	0	1	1	0.515104776574522
385	-36.9105567932129	-37.4958648681641	59	1	1	1	0.498871072605369
